#,NAME,EDITION,REGION,PRICE (SGD),PRICE (MYR),Type
1,Arcana Heart 3 : Love Max,Standard,R1,$39.00 ,105.3,PsVita
2,BlazBlue: Chrono Phantasma,Standard,R1,$39.00 ,105.3,PsVita
3,Borderlands 2,Standard,R1,$52.00 ,140.4,PsVita
4,Conception II: Children of the Seven Stars,Standard,R1,$44.90 ,121.23,PsVita
5,Criminal Girls: Invite Only,Standard,R2,$48.00 ,129.6,PsVita
6,Criminal Girls: Invite Only,Standard,R1,$56.00 ,151.2,PsVita
7,Danganronpa 2 : Goodbye Despair,Standard,R1,$49.90 ,134.73,PsVita
8,Deception IV: Blood Ties,Standard,R2,$39.00 ,105.3,PsVita
9,Demon Gaze,Standard,R1,$42.00 ,113.4,PsVita
10,Disgaea 3: Absence of Detention,Standard,R1,$39.00 ,105.3,PsVita
11,Dungeon Hunter Alliance,Standard,R1,$29.00 ,78.3,PsVita
12,Everybody's Golf 6 (Japan),Standard,R2 (Jap),$19.90 ,53.73,PsVita
13,Football Manager Classic 2014,Standard,R2,$52.00 ,135,PsVita
14,Freedom Wars,Standard,R1,$38.00 ,102.6,PsVita
15,God Eater 2 (Japanese),Standard,R3 (The Best),$49.90 ,134.73,PsVita
16,God of War Collection,Standard,R1,$39.00 ,105.3,PsVita
17,Gravity Rush,Standard,R1,$29.00 ,78.3,PsVita
18,Hot Shots Golf: World Invitational,Standard,R1,$29.00 ,78.3,PsVita
19,Hyperdimension Neptunia Producing Perfection,Standard,R1,$39.00 ,105.3,PsVita
20,Hyperdimension Neptunia Rebirth,Standard,R1,$42.00 ,113.4,PsVita
21,Hyperdimension Neptunia ReBirth 2: Sisters Generation,Standard,R3,$52.00 ,140.4,PsVita
22,Hyperdimension Neptunia ReBirth 2: Sisters Generation,Standard,R2,$50.00 ,135,PsVita
23,Hyperdimension Neptunia ReBirth 2: Sisters Generation,Standard,R1,$56.00 ,151.2,PsVita
24,Jak and Daxter Collection,Standard,R1,$29.00 ,78.3,PsVita
25,Killzone: Mercenary,Standard,R1,$39.90 ,107.73,PsVita
26,LEGO Batman 2: DC Super Heroes,Standard,R1,$29.00 ,78.3,PsVita
27,LEGO Harry Potter: Years 5-7,Standard,R1,$29.00 ,78.3,PsVita
28,LEGO Legends of Chima: Laval's Journey,Standard,R1,$29.00 ,78.3,PsVita
29,LEGO Lord of the Rings,Standard,R1,$29.00 ,78.3,PsVita
30,LEGO: The Hobbit,Standard,R1,$29.00 ,78.3,PsVita
31,Little Deviants,Standard,R1,$29.00 ,78.3,PsVita
32,Modnation Racers: Road Trip,Standard,R1,$29.00 ,78.3,PsVita
33,New Little King's Story,Standard,R2,$39.00 ,105.3,PsVita
34,One Piece: Unlimited World Red,Standard,R1,$49.90 ,134.73,PsVita
35,PlayStation All-Stars Battle Royale,Standard,R1,$29.00 ,78.3,PsVita
36,Rayman Legends,Standard,R1,$29.00 ,78.3,PsVita
37,Sly Cooper: Thieves in Time,Standard,R1,$29.00 ,78.3,PsVita
38,Smart As,Standard,R1,$29.00 ,78.3,PsVita
39,Sonic and All-Stars Racing Transfoed,Standard,R1,$29.00 ,78.3,PsVita
40,Spy Hunter,Standard,R1,$29.00 ,78.3,PsVita
41,Super Monkey Ball Banana Splitz,Standard,R1,$29.00 ,78.3,PsVita
42,Tales of Hearts R,Standard,R3,$49.00 ,132.3,PsVita
43,Tearaway,Standard,R1,$39.00 ,105.3,PsVita
44,The Lego Movie Videogame,Standard,R1,$29.00 ,78.3,PsVita
45,The Sly Collection,Standard,R1,$29.00 ,78.3,PsVita
46,The Walking Dead,Standard,R1,$39.00 ,105.3,PsVita
47,The Walking Dead: Season Two,Standard,R1,$45.00 ,121.5,PsVita
48,Uncharted: Golden Abyss,Standard,R1,$29.00 ,78.3,PsVita
49,Xblaze Code: Embryo,Standard,R1,$52.00 ,140.4,PsVita
